mentors,mentees,trial_idx,e2e_s,solver_wall_s,solver_status,mip_gap,stage1_status,stage1_wall_s,stage1_gap,stage2_status,stage2_wall_s,stage2_gap,api_same_major_pct,greedy_same_major_pct,delta_same_major_pct,api_extras_total,greedy_extras_total,delta_extras_total,api_extras_avg,greedy_extras_avg,delta_extras_avg,http_status,error
25,50,1,0.562,,,,,,,,,,60.0,46.0,14.0,23.0,22.0,1.0,0.46,0.44,0.02,200,
25,50,2,0.451,,,,,,,,,,48.0,38.0,10.0,30.0,20.0,10.0,0.6,0.4,0.2,200,
25,50,3,0.437,,,,,,,,,,48.0,28.0,20.0,23.0,27.0,-4.0,0.46,0.54,-0.08,200,
25,50,4,0.472,,,,,,,,,,62.0,52.0,10.0,21.0,20.0,1.0,0.42,0.4,0.02,200,
25,50,5,0.539,,,,,,,,,,56.0,46.0,10.0,23.0,17.0,6.0,0.46,0.34,0.12,200,
25,50,6,0.514,,,,,,,,,,56.0,50.0,6.0,23.0,18.0,5.0,0.46,0.36,0.1,200,
25,50,7,0.492,,,,,,,,,,48.0,34.0,14.0,21.0,22.0,-1.0,0.42,0.44,-0.02,200,
25,50,8,0.465,,,,,,,,,,54.0,34.0,20.0,25.0,29.0,-4.0,0.5,0.58,-0.08,200,
25,50,9,0.441,,,,,,,,,,50.0,38.0,12.0,27.0,25.0,2.0,0.54,0.5,0.04,200,
25,50,10,0.453,,,,,,,,,,54.0,42.0,12.0,20.0,14.0,6.0,0.4,0.28,0.12,200,
25,50,11,0.435,,,,,,,,,,52.0,38.0,14.0,25.0,25.0,0.0,0.5,0.5,0.0,200,
25,50,12,0.485,,,,,,,,,,48.0,40.0,8.0,33.0,26.0,7.0,0.66,0.52,0.14,200,
25,50,13,0.456,,,,,,,,,,52.0,34.0,18.0,27.0,28.0,-1.0,0.54,0.56,-0.02,200,
25,50,14,0.529,,,,,,,,,,42.0,36.0,6.0,34.0,26.0,8.0,0.68,0.52,0.16,200,
25,50,15,0.393,,,,,,,,,,44.0,26.0,18.0,27.0,30.0,-3.0,0.54,0.6,-0.06,200,
25,50,16,0.435,,,,,,,,,,48.0,28.0,20.0,26.0,29.0,-3.0,0.52,0.58,-0.06,200,
25,50,17,0.446,,,,,,,,,,50.0,38.0,12.0,23.0,25.0,-2.0,0.46,0.5,-0.04,200,
25,50,18,0.459,,,,,,,,,,62.0,42.0,20.0,17.0,19.0,-2.0,0.34,0.38,-0.04,200,
25,50,19,0.498,,,,,,,,,,64.0,52.0,12.0,21.0,20.0,1.0,0.42,0.4,0.02,200,
25,50,20,0.528,,,,,,,,,,36.0,28.0,8.0,25.0,18.0,7.0,0.5,0.36,0.14,200,
25,50,21,0.466,,,,,,,,,,38.0,28.0,10.0,30.0,30.0,0.0,0.6,0.6,0.0,200,
25,50,22,0.492,,,,,,,,,,44.0,30.0,14.0,28.0,31.0,-3.0,0.56,0.62,-0.06,200,
25,50,23,0.504,,,,,,,,,,46.0,42.0,4.0,26.0,21.0,5.0,0.52,0.42,0.1,200,
25,50,24,0.484,,,,,,,,,,50.0,40.0,10.0,28.0,23.0,5.0,0.56,0.46,0.1,200,
25,50,25,0.499,,,,,,,,,,46.0,34.0,12.0,25.0,23.0,2.0,0.5,0.46,0.04,200,
25,50,26,0.515,,,,,,,,,,52.0,36.0,16.0,26.0,29.0,-3.0,0.52,0.58,-0.06,200,
25,50,27,0.431,,,,,,,,,,60.0,52.0,8.0,22.0,22.0,0.0,0.44,0.44,0.0,200,
25,50,28,0.44,,,,,,,,,,40.0,34.0,6.0,28.0,24.0,4.0,0.56,0.48,0.08,200,
25,50,29,0.439,,,,,,,,,,64.0,48.0,16.0,17.0,15.0,2.0,0.34,0.3,0.04,200,
25,50,30,0.462,,,,,,,,,,38.0,22.0,16.0,31.0,30.0,1.0,0.62,0.6,0.02,200,
25,50,31,0.467,,,,,,,,,,64.0,52.0,12.0,24.0,23.0,1.0,0.48,0.46,0.02,200,
25,50,32,0.426,,,,,,,,,,60.0,46.0,14.0,22.0,21.0,1.0,0.44,0.42,0.02,200,
25,50,33,0.478,,,,,,,,,,46.0,36.0,10.0,28.0,22.0,6.0,0.56,0.44,0.12,200,
25,50,34,0.477,,,,,,,,,,50.0,40.0,10.0,24.0,20.0,4.0,0.48,0.4,0.08,200,
25,50,35,0.489,,,,,,,,,,48.0,36.0,12.0,20.0,22.0,-2.0,0.4,0.44,-0.04,200,
25,50,36,0.462,,,,,,,,,,52.0,40.0,12.0,20.0,19.0,1.0,0.4,0.38,0.02,200,
25,50,37,0.431,,,,,,,,,,62.0,50.0,12.0,17.0,14.0,3.0,0.34,0.28,0.06,200,
25,50,38,0.504,,,,,,,,,,48.0,40.0,8.0,29.0,24.0,5.0,0.58,0.48,0.1,200,
